,Gini
0,0.0
1,0.35860000000000003
2,0.45220000000000005
3,0.5044
4,0.5546
5,0.5286
6,0.5546
7,0.5986
8,0.6164000000000001
9,0.607
10,0.6038
11,0.624
12,0.6214
13,0.6104
14,0.621
15,0.6144000000000001
16,0.5998
17,0.5880000000000001
18,0.635
19,0.6064
20,0.644
21,0.6424000000000001
22,0.6592
23,0.6859999999999999
24,0.7046
25,0.7090000000000001
26,0.6994
27,0.6984
28,0.6970000000000001
29,0.6848000000000001
30,0.6992
31,0.6759999999999999
32,0.6312
33,0.6315999999999999
34,0.601
35,0.6562
36,0.6612
37,0.6597999999999999
38,0.6596
39,0.643
40,0.6168
41,0.5851999999999999
42,0.6242000000000001
43,0.6292
44,0.6422
45,0.6448
46,0.664
47,0.6654
48,0.6658
49,0.6506000000000001
50,0.6396
51,0.6084
52,0.6188
53,0.626
54,0.6044
55,0.6175999999999999
56,0.603
57,0.5962000000000001
58,0.6134
59,0.6508
60,0.6557999999999999
61,0.6552
62,0.6908000000000001
63,0.6818
64,0.6722
65,0.6936
66,0.6928000000000001
67,0.6842
68,0.6718
69,0.6972
70,0.685
71,0.679
72,0.6596
73,0.649
74,0.6739999999999999
75,0.6852
76,0.6812
77,0.6706000000000001
78,0.6679999999999999
79,0.6724
80,0.6932
81,0.6876
82,0.6726000000000001
83,0.6506000000000001
84,0.6724
85,0.6548
86,0.6752
87,0.681
88,0.6698
89,0.6626000000000001
90,0.6930000000000001
91,0.685
92,0.6868000000000001
93,0.692
94,0.706
95,0.6926
96,0.7174
97,0.7084
98,0.7214
99,0.7146
